[2026-06-18 12:52:45.652316] EVENT=USER_SIGNUP | USER=test123456@gmail.com | DETAILS=New account created
[2026-06-18 13:00:08.287823] EVENT=USER_SIGNUP | USER=riya@test.com | DETAILS=New account created
[2026-06-18 13:00:28.083449] EVENT=USER_LOGIN | USER=riya@test.com | DETAILS=Session=3b63a8d8-7b97-40a4-a906-653caa69eccb
[2026-06-19 04:58:23.170207] EVENT=USER_SIGNUP | USER=diya@test.com | DETAILS=New account created
[2026-06-19 05:24:44.799461] EVENT=USER_SIGNUP | USER=browne@test.com | DETAILS=New account created
[2026-06-19 05:38:57.427576] EVENT=USER_SIGNUP | USER=claire@test.com | DETAILS=New account created
[2026-06-19 05:39:37.790150] EVENT=USER_LOGIN | USER=claire@test.com | DETAILS=Session=3e0c49bb-bab6-4a1a-b544-0f2f388b02c3
[2026-06-19 06:11:56.240254] EVENT=USER_SIGNUP | USER=neil@test.com | DETAILS=New account created
[2026-06-19 06:13:02.597096] EVENT=USER_LOGIN | USER=neil@test.com | DETAILS=Session=bb76f79d-af3e-4a70-b839-bf253126a022
[2026-06-19 06:20:04.317726] EVENT=USER_LOGIN | USER=jasmitha@test.com | DETAILS=Session=9f031fe1-1b05-4c6f-aa9a-df12a23d5bd2
[2026-06-19 06:31:26.337800] EVENT=USER_LOGIN | USER=jasmitha@test.com | DETAILS=Session=9d5b04ef-0402-4378-8a7f-5d0fb56e6191
[2026-06-19 06:37:38.803269] EVENT=USER_LOGIN | USER=jasmitha@test.com | DETAILS=Session=7f20ed73-1b1a-449a-8bb8-e44f7ce2dd5a
[2026-06-19 06:48:55.523666] EVENT=USER_LOGIN | USER=jasmitha@test.com | DETAILS=Session=be1ca16e-4445-4899-a981-0be51418511c
[2026-06-19 06:56:05.329984] EVENT=USER_LOGIN | USER=jasmitha@test.com | DETAILS=Session=31be3a93-9267-48e0-9905-cabda58c7e01
